Month,Day,Hour,windSpeed,Pressure,Temperature,Hourly RH
2.0,21.0,12.0,4.4,978.15,33.13,54.05
2.0,21.0,1.0,4.949999999999999,977.05,34.425,46.95
2.0,21.0,2.0,4.0,976.15,34.349999999999994,44.2
2.0,21.0,3.0,3.5999999999999996,975.7,34.32,43.3
2.0,21.0,4.0,3.6,975.6500000000001,34.035,42.7
2.0,21.0,5.0,3.05,976.05,33.21,44.45
2.0,21.0,6.0,2.0999999999999996,976.75,31.78,49.25
2.0,21.0,7.0,2.3,977.5999999999999,30.735,52.05
2.0,21.0,8.0,2.3,978.4000000000001,30.095,53.95
2.0,21.0,9.0,1.1,979.0,29.35,57.599999999999994
2.0,21.0,10.0,2.1,979.25,29.09,60.35
2.0,21.0,11.0,1.9,979.3499999999999,28.270000000000003,63.650000000000006
2.0,22.0,12.0,2.8499999999999996,978.95,27.285,68.1
2.0,22.0,1.0,4.4,978.6,26.18,75.15
2.0,22.0,2.0,5.1,978.2,25.42,83.1
2.0,22.0,3.0,5.15,977.7,24.835,87.30000000000001
2.0,22.0,4.0,3.05,977.8,24.41,89.15
2.0,22.0,5.0,1.7,978.25,24.28,90.0
2.0,22.0,6.0,1.9,978.85,24.59,90.85
2.0,22.0,7.0,3.5999999999999996,979.65,25.285,89.44999999999999
2.0,22.0,8.0,3.4,980.3,26.15,86.75
2.0,22.0,9.0,3.8,980.8,27.09,84.15
2.0,22.0,10.0,4.6,980.45,30.17,74.65
2.0,22.0,11.0,4.550000000000001,979.35,31.73,65.05000000000001
2.0,22.0,12.0,4.550000000000001,977.95,33.655,56.75
2.0,22.0,1.0,5.7,976.7,34.735,46.400000000000006
2.0,22.0,2.0,4.550000000000001,975.7,34.760000000000005,44.45
2.0,22.0,3.0,4.949999999999999,975.25,36.04,40.3
2.0,22.0,4.0,3.2,975.1500000000001,35.385000000000005,38.05
2.0,22.0,5.0,2.45,975.2,34.4,40.35
2.0,22.0,6.0,2.3,975.75,32.625,45.400000000000006
2.0,22.0,7.0,3.8,976.55,31.445,48.65
2.0,22.0,8.0,1.35,977.2,30.94,51.65
2.0,22.0,9.0,3.8,977.95,30.18,55.0
2.0,22.0,10.0,5.9,978.7,28.705,59.45
2.0,22.0,11.0,4.550000000000001,978.6500000000001,27.935000000000002,64.25
2.0,23.0,12.0,3.05,978.3,27.015,70.1
2.0,23.0,1.0,4.2,977.75,26.05,72.4
2.0,23.0,2.0,4.199999999999999,977.85,25.475,70.1
2.0,23.0,3.0,2.3,977.6500000000001,25.115000000000002,69.8
2.0,23.0,4.0,3.05,977.7,24.505,74.1
2.0,23.0,5.0,2.3,978.4,24.23,75.15
2.0,23.0,6.0,1.3,978.85,23.990000000000002,77.05
2.0,23.0,7.0,3.4000000000000004,979.5,25.055,75.19999999999999
2.0,23.0,8.0,3.05,980.25,27.4,70.8
2.0,23.0,9.0,5.300000000000001,980.45,29.655,66.95
2.0,23.0,10.0,6.1,979.95,30.955,62.55
2.0,23.0,11.0,7.45,978.9000000000001,31.96,57.5
2.0,23.0,12.0,6.3,977.45,34.395,54.150000000000006
2.0,23.0,1.0,5.5,976.25,34.97,43.8
2.0,23.0,2.0,4.35,975.4000000000001,36.04,36.349999999999994
2.0,23.0,3.0,4.0,974.8499999999999,35.605000000000004,35.5
2.0,23.0,4.0,4.0,974.95,35.545,36.4
2.0,23.0,5.0,1.5499999999999998,975.2,34.06999999999999,38.05
2.0,23.0,6.0,2.1,975.85,32.394999999999996,43.9
2.0,23.0,7.0,3.8,976.5999999999999,31.5,52.3
2.0,23.0,8.0,2.45,977.3,30.310000000000002,56.6
2.0,23.0,9.0,1.15,977.9,29.6,59.849999999999994
2.0,23.0,10.0,4.0,978.15,28.79,62.95
2.0,23.0,11.0,4.15,978.3499999999999,27.645,72.0
2.0,24.0,12.0,4.75,978.1,26.98,77.19999999999999
2.0,24.0,1.0,3.65,977.8499999999999,26.205,80.0
2.0,24.0,2.0,5.15,977.5,25.77,83.55
2.0,24.0,3.0,3.8,977.3499999999999,25.255,85.75
2.0,24.0,4.0,3.4,977.45,24.835,88.25
2.0,24.0,5.0,3.05,977.8,24.425,90.4
2.0,24.0,6.0,3.8,978.5999999999999,24.79,90.85
2.0,24.0,7.0,4.75,979.05,25.575,88.75
2.0,24.0,8.0,5.3,979.5,27.545,82.55000000000001
2.0,24.0,9.0,5.5,979.6,30.585,72.5
2.0,24.0,10.0,4.95,979.05,32.655,63.550000000000004
2.0,24.0,11.0,4.949999999999999,977.9000000000001,34.665,55.900000000000006
2.0,24.0,12.0,4.75,976.7,35.155,50.0
2.0,24.0,1.0,4.2,975.5999999999999,36.650000000000006,44.6
2.0,24.0,2.0,4.75,974.75,36.525000000000006,41.45
2.0,24.0,3.0,3.25,973.85,36.455,40.4
2.0,24.0,4.0,16.95,974.55,23.134999999999998,79.25
2.0,24.0,5.0,6.8500000000000005,975.0,24.86,77.6
2.0,24.0,6.0,3.6,975.4,25.619999999999997,72.95
2.0,24.0,7.0,3.65,976.55,25.064999999999998,72.95
2.0,24.0,8.0,2.05,977.55,25.1,72.19999999999999
2.0,24.0,9.0,5.5,977.9,24.689999999999998,73.85
2.0,24.0,10.0,6.050000000000001,978.2,24.46,77.55
2.0,24.0,11.0,5.9,978.5,24.375,77.45
2.0,25.0,12.0,4.550000000000001,978.05,24.365000000000002,77.55000000000001
2.0,25.0,1.0,4.55,977.4000000000001,24.22,77.75
2.0,25.0,2.0,5.1,977.25,23.965,79.85
2.0,25.0,3.0,4.55,977.2,23.74,80.45
2.0,25.0,4.0,3.8,977.25,23.185,80.15
2.0,25.0,5.0,2.3,977.95,22.97,82.55
2.0,25.0,6.0,4.0,978.45,22.99,86.25
2.0,25.0,7.0,4.55,979.3,23.595,91.6
2.0,25.0,8.0,4.55,980.0999999999999,24.755000000000003,92.94999999999999
2.0,25.0,9.0,3.8,980.5,26.49,89.6
2.0,25.0,10.0,5.5,980.2,28.21,83.2
2.0,25.0,11.0,6.5,979.3,29.765,75.15
2.0,25.0,12.0,5.7,978.3,31.0,70.44999999999999
2.0,25.0,1.0,6.1,977.05,33.040000000000006,64.15
2.0,25.0,2.0,5.3,976.25,33.235,61.35
2.0,25.0,3.0,4.0,975.8,34.335,57.900000000000006
2.0,25.0,4.0,4.4,975.2,33.675,57.5
2.0,25.0,5.0,3.5999999999999996,975.25,32.565,57.349999999999994
2.0,25.0,6.0,12.200000000000001,976.6,26.865000000000002,63.199999999999996
2.0,25.0,7.0,7.25,977.0,23.735,74.75
2.0,25.0,8.0,9.7,978.95,22.66,77.85
2.0,25.0,9.0,5.9,978.7,22.015,89.94999999999999
2.0,25.0,10.0,3.8,979.15,22.97,87.35
2.0,25.0,11.0,3.05,979.6,22.665,84.55
2.0,26.0,12.0,2.1,978.95,22.48,85.1
2.0,26.0,1.0,2.3,978.0,22.295,86.44999999999999
2.0,26.0,2.0,5.55,978.1500000000001,22.32,87.69999999999999
2.0,26.0,3.0,3.5999999999999996,977.25,22.6,86.4
2.0,26.0,4.0,3.4,977.2,22.115,87.94999999999999
2.0,26.0,5.0,3.8,977.65,21.665,89.55
2.0,26.0,6.0,3.8,978.55,21.64,90.65
2.0,26.0,7.0,1.9,979.25,22.62,88.85
2.0,26.0,8.0,2.7,979.85,23.630000000000003,83.75
2.0,26.0,9.0,4.4,980.2,26.990000000000002,76.9
2.0,26.0,10.0,4.949999999999999,979.95,29.555,70.9
2.0,26.0,11.0,6.5,979.0,30.735,65.55000000000001
2.0,26.0,12.0,6.7,977.85,32.535,61.3
2.0,26.0,1.0,4.75,976.35,32.91,58.35
2.0,26.0,2.0,5.7,975.2,32.975,57.599999999999994
2.0,26.0,3.0,5.7,974.35,31.93,59.5
2.0,26.0,4.0,7.050000000000001,974.55,29.814999999999998,68.15
2.0,26.0,5.0,5.7,975.0999999999999,28.83,71.69999999999999
2.0,26.0,6.0,6.65,976.1500000000001,27.835,75.15
2.0,26.0,7.0,16.2,978.65,24.91,78.8
2.0,26.0,8.0,7.25,981.1500000000001,22.225,83.19999999999999
2.0,26.0,9.0,4.0,979.95,22.09,87.05
2.0,26.0,10.0,4.0,979.3499999999999,22.48,90.05
2.0,26.0,11.0,3.4,979.05,23.21,86.15
2.0,27.0,12.0,3.25,977.7,23.255000000000003,82.55000000000001
2.0,27.0,1.0,4.6,977.05,22.225,86.15
2.0,27.0,2.0,4.0,976.6,21.785,89.6
2.0,27.0,3.0,1.7,976.55,21.585,89.95
2.0,27.0,4.0,0.95,976.75,21.15,93.35
2.0,27.0,5.0,3.8,976.55,20.925,94.55000000000001
2.0,27.0,6.0,3.8,977.05,21.035,95.15
2.0,27.0,7.0,2.3,977.95,23.005000000000003,94.2
2.0,27.0,8.0,1.9,978.75,25.66,83.30000000000001
2.0,27.0,9.0,4.0,978.8499999999999,28.445,70.55000000000001
2.0,27.0,10.0,3.8,978.55,31.270000000000003,59.35
2.0,27.0,11.0,4.55,977.75,32.730000000000004,48.85
2.0,27.0,12.0,6.25,976.7,34.465,43.0
2.0,27.0,1.0,4.4,975.65,35.035,41.1
2.0,27.0,2.0,5.7,974.75,34.545,40.5
2.0,27.0,3.0,4.75,974.25,34.44,40.55
2.0,27.0,4.0,4.2,974.2,33.980000000000004,41.35
2.0,27.0,5.0,5.15,974.3499999999999,32.405,48.349999999999994
2.0,27.0,6.0,3.5999999999999996,974.95,30.990000000000002,53.35
2.0,27.0,7.0,2.85,975.65,29.64,59.05
2.0,27.0,8.0,3.25,976.4,28.689999999999998,62.5
2.0,27.0,9.0,3.2,976.85,27.85,64.9
2.0,27.0,10.0,2.5,977.1500000000001,27.21,66.75
2.0,27.0,11.0,3.25,977.1,26.755,69.45
2.0,28.0,12.0,4.15,976.7,26.32,72.45
2.0,28.0,1.0,3.5999999999999996,976.0999999999999,24.895,77.19999999999999
2.0,28.0,2.0,3.2,975.5,24.255000000000003,83.25
2.0,28.0,3.0,2.3,975.5,23.785,86.1
2.0,28.0,4.0,3.05,975.9,23.435000000000002,88.55
2.0,28.0,5.0,4.0,976.5,23.085,89.9
2.0,28.0,6.0,3.0,977.35,23.134999999999998,90.1
2.0,28.0,7.0,3.6,978.15,24.17,89.25
2.0,28.0,8.0,6.3,978.95,26.565,79.55
2.0,28.0,9.0,5.5,979.25,28.259999999999998,70.30000000000001
2.0,28.0,10.0,5.15,979.05,30.335,61.900000000000006
2.0,28.0,11.0,5.1,978.2,31.854999999999997,57.25
2.0,28.0,12.0,4.2,977.3,33.105000000000004,54.0
2.0,28.0,1.0,5.15,976.3,33.745000000000005,49.05
2.0,28.0,2.0,5.35,975.4000000000001,34.825,40.8
2.0,28.0,3.0,3.8,974.9,35.435,34.45
2.0,28.0,4.0,3.8,974.55,34.980000000000004,35.099999999999994
2.0,28.0,5.0,2.65,974.5999999999999,33.81999999999999,37.0
2.0,28.0,6.0,0.6000000000000001,975.1,31.66,42.65
2.0,28.0,7.0,2.3,975.75,30.395,50.25
2.0,28.0,8.0,3.4,976.45,29.34,56.55
2.0,28.0,9.0,2.5,977.25,28.39,61.05
2.0,28.0,10.0,3.2,977.75,27.79,66.85
2.0,28.0,11.0,3.6,977.5,27.21,71.3
3.0,1.0,12.0,5.3,977.15,26.435000000000002,77.15
3.0,1.0,1.0,5.699999999999999,976.75,25.54,81.15
3.0,1.0,2.0,5.9,976.55,24.96,84.55000000000001
3.0,1.0,3.0,4.75,976.55,24.395000000000003,85.3
3.0,1.0,4.0,4.0,976.5,23.895,88.45
3.0,1.0,5.0,2.85,976.95,23.59,90.75
3.0,1.0,6.0,2.8499999999999996,977.7,23.92,92.1
3.0,1.0,7.0,4.0,978.5,24.98,90.25
3.0,1.0,8.0,4.75,979.0,26.939999999999998,83.1
3.0,1.0,9.0,6.25,979.3499999999999,28.765,75.95
3.0,1.0,10.0,4.6,979.0999999999999,31.705,68.6
3.0,1.0,11.0,5.300000000000001,978.3,32.875,61.8
3.0,1.0,12.0,5.35,977.2,33.42,56.8
3.0,1.0,1.0,3.8,976.25,34.64,53.3
3.0,1.0,2.0,5.15,975.55,34.615,46.15
3.0,1.0,3.0,8.35,975.3,30.335,53.849999999999994
3.0,1.0,4.0,4.9,975.5,29.805,59.2
3.0,1.0,5.0,2.65,975.8499999999999,31.66,54.75
3.0,1.0,6.0,5.9,976.75,28.835,64.0
3.0,1.0,7.0,5.15,977.2,27.925,73.2
3.0,1.0,8.0,3.4,978.0999999999999,28.0,72.65
3.0,1.0,9.0,5.3,979.45,27.134999999999998,75.05
3.0,1.0,10.0,8.95,980.5,25.63,78.44999999999999
3.0,1.0,11.0,4.0,979.6,23.845,82.19999999999999
3.0,2.0,12.0,3.2,979.0999999999999,24.73,84.5
3.0,2.0,1.0,3.5999999999999996,978.3499999999999,25.125,87.65
3.0,2.0,2.0,3.0,977.95,24.92,89.35
3.0,2.0,3.0,2.85,977.95,24.485,90.6
3.0,2.0,4.0,2.1,977.95,24.195,92.35
3.0,2.0,5.0,1.3,978.4,24.134999999999998,93.15
3.0,2.0,6.0,2.3,978.9000000000001,24.47,93.55
3.0,2.0,7.0,3.05,979.75,25.455,93.15
3.0,2.0,8.0,3.2,980.65,26.82,89.15
3.0,2.0,9.0,3.5999999999999996,980.8499999999999,27.965,82.85
3.0,2.0,10.0,4.0,980.55,29.979999999999997,77.15
3.0,2.0,11.0,4.949999999999999,979.85,31.765,69.55
3.0,2.0,12.0,5.1,978.7,32.94,61.949999999999996
3.0,2.0,1.0,5.35,977.25,34.07,55.849999999999994
3.0,2.0,2.0,5.1,976.2,34.745000000000005,51.45
3.0,2.0,3.0,4.0,975.55,35.45,47.1
3.0,2.0,4.0,3.8000000000000003,975.25,35.29,42.95
3.0,2.0,5.0,4.95,975.5,33.175000000000004,45.8
3.0,2.0,6.0,6.3,976.1500000000001,28.73,61.05
3.0,2.0,7.0,3.8,976.95,28.64,64.05000000000001
3.0,2.0,8.0,1.9,978.1,28.28,63.25
3.0,2.0,9.0,1.9,979.0,27.345,66.0
3.0,2.0,10.0,3.2,979.25,26.965,68.65
3.0,2.0,11.0,4.95,979.35,25.695,74.80000000000001
3.0,3.0,12.0,5.300000000000001,978.65,25.575,78.2
3.0,3.0,1.0,5.15,977.85,24.990000000000002,80.35
3.0,3.0,2.0,3.8,977.5,24.645,83.9
3.0,3.0,3.0,3.05,977.2,24.22,87.35
3.0,3.0,4.0,2.65,977.2,23.64,88.9
3.0,3.0,5.0,3.2,977.45,23.365000000000002,90.65
3.0,3.0,6.0,2.85,978.05,23.795,93.2
3.0,3.0,7.0,3.8,979.0999999999999,24.735,92.95
3.0,3.0,8.0,4.75,979.8,26.060000000000002,88.15
3.0,3.0,9.0,4.75,979.8499999999999,27.975,80.4
3.0,3.0,10.0,4.75,979.5,29.79,73.55000000000001
3.0,3.0,11.0,4.9,978.5999999999999,31.105,67.1
3.0,3.0,12.0,4.75,977.55,32.1,63.8
3.0,3.0,1.0,5.300000000000001,976.3,33.455,59.0
3.0,3.0,2.0,5.9,975.25,34.635000000000005,54.349999999999994
3.0,3.0,3.0,5.7,974.55,34.36,53.099999999999994
3.0,3.0,4.0,5.5,974.3,33.575,53.95
3.0,3.0,5.0,5.1,974.4,32.085,58.55
3.0,3.0,6.0,9.9,975.0999999999999,29.424999999999997,62.599999999999994
3.0,3.0,7.0,8.95,976.45,23.895,81.3
3.0,3.0,8.0,2.1,977.1,25.049999999999997,84.9
3.0,3.0,9.0,3.6,977.55,26.035,77.55
3.0,3.0,10.0,3.4000000000000004,977.75,26.034999999999997,79.0
3.0,3.0,11.0,3.8,977.15,26.415,80.0
3.0,4.0,12.0,5.300000000000001,976.5999999999999,25.72,86.6
3.0,4.0,1.0,5.9,976.1,24.86,88.55
3.0,4.0,2.0,0.95,975.6,24.185000000000002,89.1
3.0,4.0,3.0,1.15,975.4,23.869999999999997,90.75
3.0,4.0,4.0,3.25,975.55,23.39,91.05
3.0,4.0,5.0,1.3,975.8,22.955,89.5
3.0,4.0,6.0,2.0999999999999996,976.45,22.825000000000003,90.2
3.0,4.0,7.0,3.95,977.25,23.75,89.0
3.0,4.0,8.0,4.6,977.75,26.39,84.69999999999999
3.0,4.0,9.0,4.9,978.05,29.09,77.95
3.0,4.0,10.0,4.75,977.8,30.485,71.0
3.0,4.0,11.0,4.95,977.25,32.089999999999996,63.9
3.0,4.0,12.0,4.949999999999999,976.4000000000001,33.44,59.400000000000006
3.0,4.0,1.0,4.4,975.3,33.43,53.900000000000006
3.0,4.0,2.0,4.75,974.25,34.22,51.45
3.0,4.0,3.0,3.8,973.45,35.29,46.45
3.0,4.0,4.0,3.65,973.0,35.1,42.95
3.0,4.0,5.0,2.3,973.0,34.28,43.8
3.0,4.0,6.0,1.9000000000000001,973.5,32.2,50.55
3.0,4.0,7.0,6.1,974.65,30.509999999999998,58.1
3.0,4.0,8.0,4.75,975.9,28.99,60.85
3.0,4.0,9.0,3.4,976.3,28.345,64.1
3.0,4.0,10.0,7.2,976.65,27.515,70.5
3.0,4.0,11.0,5.9,976.6500000000001,26.585,77.30000000000001
3.0,5.0,12.0,3.8,976.2,25.855,81.1
3.0,5.0,1.0,3.5999999999999996,975.65,25.09,84.25
3.0,5.0,2.0,2.5,975.4,24.16,87.19999999999999
3.0,5.0,3.0,2.45,975.4,23.619999999999997,90.8
3.0,5.0,4.0,1.9,975.7,23.125,91.9
3.0,5.0,5.0,2.65,976.25,22.990000000000002,91.80000000000001
3.0,5.0,6.0,1.5499999999999998,977.1500000000001,23.45,91.69999999999999
3.0,5.0,7.0,2.5,977.5999999999999,24.945,90.05
3.0,5.0,8.0,4.949999999999999,978.3,26.9,84.5
3.0,5.0,9.0,7.05,978.55,28.725,79.35
3.0,5.0,10.0,7.2,978.45,30.165,71.05
3.0,5.0,11.0,6.7,977.65,31.765,65.2
3.0,5.0,12.0,6.5,977.0,33.155,59.65
3.0,5.0,1.0,5.1,975.85,33.745,55.3
3.0,5.0,2.0,4.2,974.5,35.29,48.7
3.0,5.0,3.0,4.9,973.7,35.505,45.9
3.0,5.0,4.0,5.7,973.6,34.480000000000004,46.05
3.0,5.0,5.0,5.5,974.0999999999999,33.5,49.400000000000006
3.0,5.0,6.0,4.15,974.85,31.935,54.849999999999994
3.0,5.0,7.0,3.4,975.75,30.91,59.650000000000006
3.0,5.0,8.0,4.35,976.85,30.005000000000003,64.45
3.0,5.0,9.0,5.1,977.7,29.225,68.55
3.0,5.0,10.0,4.6,978.2,28.505,71.94999999999999
3.0,5.0,11.0,5.5,978.3499999999999,27.275,77.65
3.0,6.0,12.0,5.699999999999999,977.75,26.299999999999997,83.05000000000001
3.0,6.0,1.0,4.9,977.55,25.465,85.65
3.0,6.0,2.0,4.75,977.25,24.799999999999997,87.65
3.0,6.0,3.0,4.199999999999999,976.9,24.29,89.94999999999999
3.0,6.0,4.0,3.25,976.9,24.130000000000003,90.75
3.0,6.0,5.0,2.85,977.25,23.625,91.55
3.0,6.0,6.0,3.05,978.15,24.115000000000002,93.2
3.0,6.0,7.0,4.75,978.95,25.174999999999997,92.44999999999999
3.0,6.0,8.0,5.9,979.45,26.785,86.45
3.0,6.0,9.0,4.15,980.05,27.665,78.65
3.0,6.0,10.0,3.5999999999999996,980.0,27.925,77.35
3.0,6.0,11.0,3.05,979.45,29.905,73.30000000000001
3.0,6.0,12.0,3.8000000000000003,978.5999999999999,30.895000000000003,69.6
3.0,6.0,1.0,4.9,977.3,32.44,63.699999999999996
3.0,6.0,2.0,4.75,976.3,33.265,59.85
3.0,6.0,3.0,4.6,975.45,33.86,56.95
3.0,6.0,4.0,4.75,974.95,33.575,54.8
3.0,6.0,5.0,3.95,975.55,33.055,53.15
3.0,6.0,6.0,2.3,976.8,30.674999999999997,57.25
3.0,6.0,7.0,1.9000000000000001,977.0,29.825000000000003,62.25
3.0,6.0,8.0,4.75,978.25,28.095,65.05000000000001
3.0,6.0,9.0,5.699999999999999,978.8,27.0,62.7
3.0,6.0,10.0,7.800000000000001,979.3,25.939999999999998,71.55000000000001
3.0,6.0,11.0,5.3,979.4,25.43,77.55
3.0,7.0,12.0,5.35,978.75,25.200000000000003,79.15
3.0,7.0,1.0,5.1,977.85,24.810000000000002,80.5
3.0,7.0,2.0,3.5999999999999996,977.2,24.049999999999997,83.25
3.0,7.0,3.0,2.0999999999999996,977.0,23.6,85.6
3.0,7.0,4.0,1.5,977.3499999999999,23.46,86.5
3.0,7.0,5.0,1.5,977.55,23.270000000000003,87.65
3.0,7.0,6.0,2.3,978.0999999999999,23.295,88.75
3.0,7.0,7.0,3.6,978.75,25.285,89.4
3.0,7.0,8.0,5.3,979.35,28.215000000000003,80.55000000000001
